Oligo-ID,Gene symbols,Entrez gene IDs,RefSeq IDs,Gene IDs,Transcript IDs
A_23_P3643,ABCA13,ABCA13,NM_152701.3,ENSG00000179869,ENST00000544596; ENST00000411975; ENST00000435803
A_32_P1701,ABCC5,ABCC5,NM_005688.2; NM_001023587.1,ENSG00000114770,ENST00000427120
A_23_P27688,ADM5,ADM5,NM_001101340.1,ENSG00000224420,ENST00000420022
A_23_P70359,AGPAT4,AGPAT4,NM_020133.2,ENSG00000026652,
A_32_P141768,AGPAT4,AGPAT4,NM_020133.2,ENSG00000026652,ENST00000366911; ENST00000320285
A_23_P343411,AGRN,AGRN,NM_198576.3,ENSG00000188157,ENST00000461111; ENST00000379370
A_24_P24819,AGRN,AGRN,NM_198576.3,ENSG00000188157,ENST00000461111; ENST00000379370
A_23_P129896,ALDH3A2,ALDH3A2,NM_001031806.1; NM_000382.2,Hs56.1,ENST00000573505; ENST00000472059; ENST00000579855; ENST00000339618; ENST00000395575; ENST00000581518; ENST00000176643
A_23_P350698,ANKFN1,ANKFN1,NM_153228.2,ENSG00000153930,ENST00000566473; ENST00000318698
A_23_P207620,ANKFY1,ANKFY1,NM_016376.3; NM_001257999.1,ENSG00000185722,ENST00000341657
A_24_P253827,AP2B1,AP2B1,NM_001282.2; NM_001030006.1,ENSG00000270478,ENST00000604623; ENST00000262325
A_23_P143838,ARPP21,ARPP21,NM_001267616.1; NM_001267617.1; NM_016300.4; NM_001267618.1; NM_001025068.1; NM_001025069.1; NM_001267619.1; NM_198399.1,ENSG00000172995,ENST00000337271; ENST00000458225; ENST00000438071; ENST00000436702; ENST00000441454; ENST00000434383; ENST00000396481; ENST00000417925; ENST00000413378; ENST00000432450; ENST00000432682; ENST00000396482; ENST00000412048; ENST00000474696; ENST00000427542; ENST00000419330; ENST00000414496; ENST00000438577; ENST00000452563; ENST00000187397; ENST00000449196; ENST00000444190; ENST00000421492; ENST00000428373; ENST00000450234
A_23_P315602,ARPP21,ARPP21,NM_001267616.1; NM_001267617.1; NM_016300.4; NM_001267618.1; NM_001025068.1; NM_001025069.1; NM_001267619.1; NM_198399.1,ENSG00000172995,ENST00000337271; ENST00000458225; ENST00000476052; ENST00000457165; ENST00000417925; ENST00000187397; ENST00000444190
A_23_P118722,ASGR1,ASGR1,NM_001197216.2; NM_001671.4,ENSG00000141505,ENST00000269299
